"Time","avg(water_surface)"
250,9.9995
251,9.9994
252,9.9994
253,9.9993
254,9.9994
255,9.9994
256,9.9996
257,9.9997
258,9.9998
259,9.9999
260,9.9999
261,9.9999
262,9.9999
263,9.9998
264,9.9998
265,9.9998
266,9.9997
267,9.9996
268,9.9996
269,9.9995
270,9.9995
271,9.9995
272,9.9996
273,9.9996
274,9.9997
275,9.9997
276,9.9997
277,9.9997
278,9.9997
279,9.9997
280,9.9998
281,9.9998
282,9.9999
283,9.9999
284,9.9999
285,9.9999
286,9.9999
287,10
288,10
289,9.9999
290,9.9999
291,9.9999
292,9.9999
293,9.9998
294,9.9998
295,9.9998
296,9.9997
297,9.9997
298,9.9997
299,9.9997
300,9.9997
301,9.9997
302,9.9997
303,9.9997
304,9.9997
305,9.9997
306,9.9998
307,9.9998
308,9.9998
309,9.9998
310,9.9997
311,9.9997
312,9.9997
313,9.9997
314,9.9997
315,9.9997
316,9.9996
317,9.9996
318,9.9996
319,9.9997
320,9.9998
321,9.9998
322,9.9999
323,9.9999
324,9.9999
325,9.9999
326,9.9998
327,9.9997
328,9.9997
329,9.9996
330,9.9996
331,9.9996
332,9.9997
333,9.9997
334,9.9998
335,9.9998
336,9.9999
337,9.9999
338,9.9999
339,9.9999
340,9.9999
341,9.9999
342,9.9999
343,9.9999
344,9.9999
345,9.9999
346,9.9999
347,9.9999
348,9.9999
349,9.9999
350,9.9999
351,9.9999
352,9.9998
353,9.9998
354,9.9997
355,9.9997
356,9.9996
357,9.9996
358,9.9996
359,9.9996
360,9.9996
361,9.9997
362,9.9997
363,9.9998
364,9.9998
365,9.9998
366,9.9998
367,9.9998
368,9.9998
369,9.9998
370,9.9998
371,9.9998
372,9.9998
373,9.9997
374,9.9997
375,9.9997
376,9.9997
377,9.9997
378,9.9997
379,9.9998
380,9.9998
381,9.9998
382,9.9999
383,9.9999
384,10
385,10
386,10
387,10
388,10
389,10
390,10
391,10
392,10
393,10
394,9.9999
395,9.9999
396,9.9999
397,9.9998
398,9.9998
399,9.9997
400,9.9997
401,9.9997
402,9.9997
403,9.9997
404,9.9997
405,9.9997
406,9.9997
407,9.9997
408,9.9997
409,9.9997
410,9.9997
411,9.9997
412,9.9997
413,9.9997
414,9.9997
415,9.9997
416,9.9998
417,9.9998
418,9.9998
419,9.9998
420,9.9998
421,9.9998
422,9.9998
423,9.9997
424,9.9997
425,9.9997
426,9.9997
427,9.9997
428,9.9997
429,9.9997
430,9.9998
431,9.9998
432,9.9998
433,9.9999
434,9.9999
435,9.9999
436,10
437,10
438,10
439,10
440,10
441,10
442,10
443,10
444,10
445,10
446,10
447,10
448,10
449,10
450,10
451,10
452,10
453,9.9999
454,9.9999
455,9.9999
456,9.9999
457,9.9998
458,9.9998
459,9.9998
460,9.9998
461,9.9997
462,9.9997
463,9.9997
464,9.9997
465,9.9997
466,9.9997
467,9.9997
468,9.9996
469,9.9996
470,9.9996
471,9.9996
472,9.9996
473,9.9995
474,9.9995
475,9.9996
476,9.9996
477,9.9996
478,9.9996
479,9.9997
480,9.9997
481,9.9998
482,9.9998
483,9.9999
484,9.9999
485,9.9999
486,9.9999
487,9.9999
488,9.9999
489,9.9999
490,9.9999
491,9.9999
492,9.9999
493,9.9999
494,9.9999
495,9.9999
496,9.9999
497,9.9999
498,9.9999
499,9.9999
500,9.9999
501,9.9998
502,9.9998
503,9.9998
504,9.9998
505,9.9998
506,9.9998
507,9.9998
508,9.9998
509,9.9998
510,9.9999
511,9.9999
512,9.9999
513,9.9999
514,10
515,10
516,10
517,10
518,10
519,10
520,9.9999
521,9.9999
522,9.9999
523,9.9999
524,9.9999
525,9.9999
526,9.9998
527,9.9998
528,9.9998
529,9.9998
530,9.9998
531,9.9997
532,9.9997
533,9.9997
534,9.9997
535,9.9997
536,9.9997
537,9.9997
538,9.9997
539,9.9997
540,9.9997
